date,title,source,media_name,ideology,Congress
21/02/2020,A Supreme Court for the Rich; nonfiction,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/A Supreme Court for the Rich nonfiction.docx,The New York Times,left,116th
23/02/2020,A Supreme Court for the Rich,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/A Supreme Court for the Rich.docx,The New York Times,left,116th
12/11/2020,"A Time to Reflect, and Look Forward; On Politics With Lisa Lerer","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/A Time to Reflect, and Look Forward On Politics With Lisa Lerer.docx",The New York Times,left,116th
03/01/2019,A Top Voter Issue? Concern for Fairness In Casting a Ballot,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/A Top Voter Issue_ Concern for Fairness In Casting a Ballot.docx,The New York Times,left,116th
20/10/2020,A Voting Readiness Report From 7 Battleground States,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/A Voting Readiness Report From 7 Battleground States.docx,The New York Times,left,116th
07/07/2021,Abbott Opens Texas G.O.P.â€™s Push to Limit Voting and Reshape the State,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Abbott Opens Texas G.O.P._s Push to Limit Voting and Reshape the State.docx,The New York Times,left,117th
21/07/2020,"After Death of John Lewis, Democrats Renew Push for Voting Rights Law","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/After Death of John Lewis, Democrats Renew Push for Voting Rights Law(2).docx",The New York Times,left,116th
22/07/2020,"After Death of John Lewis, Democrats Renew Push for Voting Rights Law","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/After Death of John Lewis, Democrats Renew Push for Voting Rights Law.docx",The New York Times,left,116th
06/12/2020,"All Eyes On Georgia Senate Runoff Elections; Do Lockdowns Really Work; Restaurant Fights Back Against Dining Bans; New Virus Shutdowns Threaten Economic Recovery; The Media's Love Affair With Joe Biden; San Francisco Bans Tobacco Smoking Inside Apartments, Pot Smoking Is Still Allowed",C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/All Eyes On Georgia Senate Runoff Elections; Do Lockdowns Really Work; Restaurant Fights Back Agains.docx,Fox News,right,116th
02/04/2021,"Alone in Old South, Virginia Aims to Ease Access to Ballot Box","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Alone in Old South, Virginia Aims to Ease Access to Ballot Box.docx",The New York Times,left,117th
